uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_cars,car_cost_per_km
Europe,2023,18849.33095238095,1131.3511904761904,2372.485654602262,2.0970373077555813,0.12586577532093157
Europe,2024,17819.730952380953,1063.8511904761904,2150.288493557262,2.0212305187107713,0.12066896516582676
Europe,2025,16975.664285714287,1019.8511904761905,2062.534440390595,2.0223876381686168,0.12149948335902837
Europe,2026,7137.047619047619,408.3511904761905,951.5531151905952,2.3302322544498053,0.13332587450461375
Europe,2027,3286.5476190476193,201.47619047619048,426.79943862809523,2.118361666554006,0.12986254516883397
Europe,2028,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2029,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2030,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2031,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2032,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2033,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2034,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2035,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
North America,2008,6128.9,334.0,647.7,1.9392215568862277,0.10567964887663367
North America,2009,6128.9,334.0,647.7,1.9392215568862277,0.10567964887663367
North America,2010,7922.9,412.0,892.00982939,2.165072401432039,0.1125862789370054
North America,2011,1794.0,78.0,244.30982939000003,3.1321772998717954,0.13618162173355633
North America,2012,3933.0,171.0,439.43378309,2.5697882052046785,0.11172992196542081
North America,2013,2846.6111111111113,119.11111111111111,308.45728703333333,2.5896600590485073,0.1083594755284061
North America,2014,707.6111111111111,26.11111111111111,113.33333333333333,4.340425531914893,0.16016330376069718
