iso2_code,development_status_3,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
CN,EMDE,2016,45768.7045546174,428.25570048840046,106.87237671891087
CN,EMDE,2017,59344.33128759181,536.3472314407815,110.64535772502458
CN,EMDE,2018,61483.50796924111,551.6477981074481,111.45427966933633
CN,EMDE,2019,74251.61904043792,661.44686001221,112.25636332912256
CN,EMDE,2020,73959.1420811954,646.1614076312576,114.45923759563397
CN,EMDE,2021,63177.66043485701,539.5213036630037,117.09947319210791
CN,EMDE,2022,45607.61877441678,406.364736996337,112.23320977978433
CN,EMDE,2023,29203.455916158044,261.96183333333335,111.47981194267375
CN,EMDE,2024,23454.154819839412,214.4747857142857,109.35623384225711
CN,EMDE,2025,15234.357591821414,143.17695238095237,106.40230385186021
CN,EMDE,2026,11294.15988615428,104.73466666666667,107.83592716344427
CN,EMDE,2027,3569.4674094194565,33.80795238095238,105.5807038887844
CN,EMDE,2028,936.1332777850668,10.533333333333333,88.87341244794938
CZ,AE,2010,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2011,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2012,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2013,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2014,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2015,176.28142060000002,1.0166666666666666,173.39156124590167
CZ,AE,2021,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2022,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2023,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2024,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2025,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2026,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2027,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2028,374.16038066666664,1.1666666666666667,320.7088977142857
CZ,AE,2029,374.16038066666664,1.1666666666666667,320.7088977142857
DE,AE,2010,297.10747434905,1.4328571428571428,207.35317252675475
DE,AE,2011,265.12141476905003,1.19,222.79110484794123
DE,AE,2012,265.12141476905003,1.19,222.79110484794123
DE,AE,2013,190.5902507481,0.54,352.94490879277777
DE,AE,2014,250.9801006722143,0.9571428571428572,262.21801562768655
DE,AE,2015,250.9801006722143,0.9571428571428572,262.21801562768655
DE,AE,2016,578.708568513522,1.5109890109890112,382.9998526162218
DE,AE,2017,451.391158690422,1.170989010989011,385.4785608185848
DE,AE,2018,451.391158690422,1.170989010989011,385.4785608185848
DE,AE,2019,463.82849213502203,1.2967032967032968,357.6982439346356
DE,AE,2020,487.9777812967363,1.5967032967032968,305.61581622851344
DE,AE,2021,749.873447018022,1.8195604395604394,412.1179108505859
DE,AE,2022,879.924953811022,2.2945604395604393,383.4830142803238
DE,AE,2023,879.924953811022,2.2945604395604393,383.4830142803238
DE,AE,2024,879.924953811022,2.2945604395604393,383.4830142803238
DE,AE,2025,879.924953811022,2.2945604395604393,383.4830142803238
DE,AE,2026,820.192992456022,1.9088461538461539,429.6799879882445
DE,AE,2027,796.0437032943078,1.6088461538461538,494.7916874408798
DE,AE,2028,796.0437032943078,1.6088461538461538,494.7916874408798
DE,AE,2029,468.315235453,1.055,443.9006971118484
DE,AE,2030,338.26372866,0.58,583.2133252758622
DK,AE,2010,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2011,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2012,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2013,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2014,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2015,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2016,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2017,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2018,429.0351069,1.4090909090909092,304.4765274774193
DK,AE,2019,429.0351069,1.4090909090909092,304.4765274774193
DO,EMDE,2010,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2011,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2012,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2013,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2014,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2015,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2016,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2017,109.62349999999999,1.65,66.43848484848485
DO,EMDE,2018,109.62349999999999,1.65,66.43848484848485
EC,EMDE,2012,251.25,2.8625,87.77292576419215
EC,EMDE,2013,251.25,2.8625,87.77292576419215
EC,EMDE,2014,251.25,2.8625,87.77292576419215
EC,EMDE,2015,251.25,2.8625,87.77292576419215
EC,EMDE,2016,251.25,2.8625,87.77292576419215
EC,EMDE,2017,251.25,2.8625,87.77292576419215
EC,EMDE,2018,251.25,2.8625,87.77292576419215
EC,EMDE,2019,251.25,2.8625,87.77292576419215
EG,EMDE,2010,104.654205,0.6142857142857142,170.3673104651163
EG,EMDE,2011,104.654205,0.6142857142857142,170.3673104651163
EG,EMDE,2012,104.654205,0.6142857142857142,170.3673104651163
ES,AE,2010,840.0430944309036,7.109960317460318,118.15018044024295
ES,AE,2011,712.8264677749036,6.344960317460317,112.34529959365057
ES,AE,2012,597.0044745911536,5.194960317460318,114.91992972200674
ES,AE,2013,597.0044745911536,5.194960317460318,114.91992972200674
ES,AE,2014,597.0044745911536,5.194960317460318,114.91992972200674
ES,AE,2015,475.6299216044869,3.9394047619047616,120.73649455978031
ES,AE,2016,363.8506690634333,2.9483333333333333,123.40893241269643
ES,AE,2017,325.6143317753333,2.3583333333333334,138.06968131816254
ES,AE,2018,280.622040582,1.9916666666666665,140.89809568970713
ES,AE,2019,280.622040582,1.9916666666666665,140.89809568970713
ES,AE,2020,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2021,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2022,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2023,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2024,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2025,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2026,377.07415645311113,3.158333333333333,119.39023423317504
ES,AE,2027,96.4521158711111,1.1666666666666667,82.67324217523809
ES,AE,2028,96.4521158711111,1.1666666666666667,82.67324217523809
FI,AE,2010,181.47669068466666,1.5,120.98446045644444
FI,AE,2011,181.47669068466666,1.5,120.98446045644444
FI,AE,2012,181.47669068466666,1.5,120.98446045644444
FI,AE,2013,181.47669068466666,1.5,120.98446045644444
FI,AE,2014,335.4499315502667,2.2,152.47724161375757
FI,AE,2015,335.4499315502667,2.2,152.47724161375757
FI,AE,2016,335.4499315502667,2.2,152.47724161375757
FI,AE,2017,335.4499315502667,2.2,152.47724161375757
FI,AE,2018,153.9732408656,0.7,219.96177266514286
FI,AE,2019,153.9732408656,0.7,219.96177266514286
FI,AE,2020,153.9732408656,0.7,219.96177266514286
FI,AE,2021,153.9732408656,0.7,219.96177266514286
FI,AE,2022,153.9732408656,0.7,219.96177266514286
FI,AE,2023,153.9732408656,0.7,219.96177266514286
FR,AE,2010,197.48194330265,1.12,176.32316366308032
FR,AE,2011,197.48194330265,1.12,176.32316366308032
FR,AE,2012,197.22865750197,1.03,191.48413349705825
FR,AE,2013,129.84682058446998,0.78,166.47028280060255
FR,AE,2014,308.45644340272,2.145,143.80253771688578
FR,AE,2015,308.45644340272,2.145,143.80253771688578
FR,AE,2016,441.7767739018311,2.8449999999999998,155.28181859466824
FR,AE,2017,3418.3252896366885,17.487857142857145,195.46850490100738
FR,AE,2018,3418.3252896366885,17.487857142857145,195.46850490100738
FR,AE,2019,3418.3252896366885,17.487857142857145,195.46850490100738
FR,AE,2020,3418.3252896366885,17.487857142857145,195.46850490100738
FR,AE,2021,4213.718148111689,23.377857142857145,180.24398568108904
FR,AE,2022,3905.261704708969,21.232857142857142,183.92539818988618
FR,AE,2023,3905.261704708969,21.232857142857142,183.92539818988618
FR,AE,2024,3841.676792802683,20.875714285714288,184.0261243387311
FR,AE,2025,3708.356462303572,20.175714285714285,183.80298262497348
FR,AE,2026,3076.7731367635715,14.775714285714287,208.2317698670115
FR,AE,2027,3076.7731367635715,14.775714285714287,208.2317698670115
FR,AE,2028,3076.7731367635715,14.775714285714287,208.2317698670115
FR,AE,2029,3076.7731367635715,14.775714285714287,208.2317698670115
FR,AE,2030,3076.7731367635715,14.775714285714287,208.2317698670115
GB,AE,2015,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2016,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2017,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2018,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2019,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2020,261.9047521714286,0.4571428571428572,572.916645375
GB,AE,2021,261.9047521714286,0.4571428571428572,572.916645375
GR,AE,2010,93.08172615253334,0.6333333333333333,146.9711465566316
GR,AE,2011,93.08172615253334,0.6333333333333333,146.9711465566316
GR,AE,2012,188.4130456149333,1.3933333333333333,135.22467388631577
GR,AE,2013,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2014,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2015,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2016,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2017,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2018,272.08448207193334,1.9266666666666667,141.22031941449828
GR,AE,2019,437.26916532526667,3.348888888888889,130.5714163214134
GR,AE,2020,437.26916532526667,3.348888888888889,130.5714163214134
GR,AE,2021,344.1874391727333,2.7155555555555555,126.74660198668576
GR,AE,2022,165.18468325333336,1.4222222222222223,116.14548041250002
GR,AE,2023,165.18468325333336,1.4222222222222223,116.14548041250002
GR,AE,2024,165.18468325333336,1.4222222222222223,116.14548041250002
GR,AE,2025,165.18468325333336,1.4222222222222223,116.14548041250002
GR,AE,2026,165.18468325333336,1.4222222222222223,116.14548041250002
GR,AE,2027,165.18468325333336,1.4222222222222223,116.14548041250002
HK,AE,2010,298.3197335,0.375,795.5192893333333
HK,AE,2011,814.3354937333332,1.975,412.32176897890287
HK,AE,2012,1837.5352469060604,3.5204545454545455,521.9596569649235
HK,AE,2013,1837.5352469060604,3.5204545454545455,521.9596569649235
HK,AE,2014,1837.5352469060604,3.5204545454545455,521.9596569649235
HK,AE,2015,1837.5352469060604,3.5204545454545455,521.9596569649235
HK,AE,2016,1837.5352469060604,3.5204545454545455,521.9596569649235
HK,AE,2017,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2018,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2019,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2020,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2021,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2022,1023.1997531727272,1.5454545454545454,662.0704285235294
HK,AE,2023,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2024,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2025,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2026,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2027,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2028,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2029,523.1987942821429,0.5571428571428572,939.0747589679488
HK,AE,2030,182.00202172500002,0.3,606.6734057500001
HU,EMDE,2010,238.71013955555554,0.8222222222222223,290.3231427027027
HU,EMDE,2011,238.71013955555554,0.8222222222222223,290.3231427027027
HU,EMDE,2012,238.71013955555554,0.8222222222222223,290.3231427027027
HU,EMDE,2013,238.71013955555554,0.8222222222222223,290.3231427027027
HU,EMDE,2014,238.71013955555554,0.8222222222222223,290.3231427027027
ID,EMDE,2013,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2014,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2015,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2016,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2017,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2018,188.14175600000002,2.242857142857143,83.88485936305733
ID,EMDE,2019,188.14175600000002,2.242857142857143,83.88485936305733
IN,EMDE,2010,741.864437514303,10.561363636363637,70.24324349177819
IN,EMDE,2011,809.337515737303,11.771363636363636,68.75477988269168
IN,EMDE,2012,2054.391183710636,37.61580808080808,54.61510169600224
IN,EMDE,2013,2313.922912302636,41.47580808080808,55.789700535656294
IN,EMDE,2014,2661.3475921853033,49.6496176046176,53.602579850238115
IN,EMDE,2015,3014.152347120414,60.03406204906205,50.20736968718088
IN,EMDE,2016,4119.6503442775565,72.48977633477634,56.830777422349286
IN,EMDE,2017,5012.867565834848,87.256443001443,57.449827123390165
IN,EMDE,2018,5181.590368156182,90.24810966810966,57.414946276566326
IN,EMDE,2019,6777.129321495646,117.25150252525252,57.79993582628975
IN,EMDE,2020,7687.926195233344,125.18418650793652,61.412918114429246
IN,EMDE,2021,6602.064367072343,104.30259920634921,63.297218068468375
IN,EMDE,2022,6289.0961173723435,98.4525992063492,63.879432011651346
IN,EMDE,2023,4388.296471439784,72.64396825396827,60.40827032050342
IN,EMDE,2024,3358.5457838433394,50.832857142857144,66.0703720509889
IN,EMDE,2025,2504.6741641757144,36.642857142857146,68.35368089368421
IN,EMDE,2026,1561.6633172400002,21.78571428571429,71.68290636511476
IR,EMDE,2012,547.3333333333334,4.0,136.83333333333334
IR,EMDE,2013,547.3333333333334,4.0,136.83333333333334
IR,EMDE,2014,547.3333333333334,4.0,136.83333333333334
IT,AE,2010,994.2261412770837,7.243882012914621,137.25046038913197
IT,AE,2011,994.2261412770837,7.243882012914621,137.25046038913197
IT,AE,2012,930.919390447717,6.333882012914621,146.97453923985267
