uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_km_distributed,cost_per_cars
North America,2015,1.1571565656565657,45.656565656565654,191333333.3333333,165347835.38541442,4190707.9646017696
North America,2016,5.118289898989898,241.26767676767676,700325824.098914,136828088.6624113,2902692.28552019
North America,2017,5.118289898989898,241.26767676767676,700325824.098914,136828088.6624113,2902692.28552019
North America,2018,4.745623232323232,229.93434343434345,672576601.4466667,141725663.52626464,2925081.096633646
North America,2019,7.003573232323232,346.4343434343434,998507337.5296667,142571128.2522623,2882241.1993887806
North America,2020,5.540773232323232,266.9343434343434,814617337.5296667,147022320.41864303,3051751.704366337
North America,2021,5.371439898989898,256.2676767676768,790347402.7496667,147138833.83453512,3084069.800446069
North America,2022,11.597895454545453,498.32323232323233,2229692287.517833,192249731.535903,4474389.598740534
North America,2023,11.597895454545453,498.32323232323233,2229692287.517833,192249731.535903,4474389.598740534
North America,2024,5.595845454545454,285.32323232323233,865056061.7178333,154588983.69238487,3031845.863633855
North America,2025,3.639512121212121,191.21212121212122,591972728.3845,162651671.06720516,3095895.409934786
North America,2026,3.1899666666666664,171.66666666666666,513972728.3845,161121661.1619244,2994015.893501942
North America,2027,0.5466666666666666,34.166666666666664,92581581.9015,169356552.25884148,2709704.836141464
