uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_km_distributed,cost_per_cars
Europe,2026,9.131297619047618,520.3511904761905,1509.285119047619,165.28703608338148,2.9005124744048776
Europe,2027,5.6735476190476195,352.2261904761905,928.1976190476191,163.60092157002632,2.6352316895934025
Europe,2028,7.6462142857142865,419.8928571428571,1235.1142857142859,161.53278466468,2.9414986816364723
Europe,2029,7.6462142857142865,419.8928571428571,1235.1142857142859,161.53278466468,2.9414986816364723
Europe,2030,7.6462142857142865,419.8928571428571,1235.1142857142859,161.53278466468,2.9414986816364723
Europe,2031,5.259214285714286,269.1428571428571,890.7142857142858,169.36261527387308,3.3094479830148624
Europe,2032,5.259214285714286,269.1428571428571,890.7142857142858,169.36261527387308,3.3094479830148624
Europe,2033,1.6232142857142857,107.14285714285714,310.7142857142857,191.4191419141914,2.9000000000000004
Europe,2034,1.6232142857142857,107.14285714285714,310.7142857142857,191.4191419141914,2.9000000000000004
Europe,2035,1.6232142857142857,107.14285714285714,310.7142857142857,191.4191419141914,2.9000000000000004
North America,2008,6.1289,334.0,647.7,105.67964887663366,1.9392215568862277
North America,2009,6.1289,334.0,647.7,105.67964887663366,1.9392215568862277
North America,2010,7.9229,412.0,856.5833333333334,108.11487376255327,2.0790857605177995
North America,2011,1.7939999999999998,78.0,208.88333333333333,116.4344109996284,2.677991452991453
North America,2012,3.933,171.0,372.68333333333334,94.75803034155437,2.1794346978557506
North America,2013,2.8466111111111108,119.11111111111111,277.1333333333333,97.35552996740765,2.326679104477612
North America,2014,0.7076111111111111,26.11111111111111,113.33333333333333,160.16330376069718,4.340425531914893
North America,2015,1.1571565656565657,45.656565656565654,191.33333333333331,165.3478353854144,4.19070796460177
North America,2016,5.118289898989898,241.26767676767676,706.6813423216666,138.069815557171,2.9290344723721504
North America,2017,5.118289898989898,241.26767676767676,706.6813423216666,138.069815557171,2.9290344723721504
North America,2018,4.745623232323232,229.93434343434345,675.9566666666667,142.437912487998,2.9397812287214182
North America,2019,7.003573232323232,346.4343434343434,1024.2462562666667,146.2462406389235,2.9565378712540458
North America,2020,5.540773232323232,266.9343434343434,840.3562562666666,151.66768626520874,3.1481758602312073
North America,2021,5.371439898989898,256.2676767676768,812.7062562666666,151.30137757279877,3.1713178443625467
North America,2022,11.597895454545453,498.32323232323233,2335.462922933333,201.36954433556454,4.686642667742327
North America,2023,11.597895454545453,498.32323232323233,2335.462922933333,201.36954433556454,4.686642667742327
North America,2024,5.595845454545454,285.32323232323233,898.4633333333334,160.55899696149038,3.148931567954119
North America,2025,3.639512121212121,191.21212121212122,625.38,171.83072323213486,3.2706085578446906
North America,2026,3.1899666666666664,171.66666666666666,547.38,171.594269532597,3.1886213592233013
North America,2027,1.1267809523809524,68.45238095238095,224.68365657142857,199.4031369599026,3.2823351568695656
North America,2028,4.375114285714286,199.28571428571428,1064.7636565714286,243.3681927002723,5.342900068817205
North America,2029,4.375114285714286,199.28571428571428,1064.7636565714286,243.3681927002723,5.342900068817205
North America,2030,0.5801142857142857,34.285714285714285,121.05365657142858,208.67208333333335,3.5307316500000003
North America,2031,0.5801142857142857,34.285714285714285,121.05365657142858,208.67208333333335,3.5307316500000003
North America,2032,0.5801142857142857,34.285714285714285,121.05365657142858,208.67208333333335,3.5307316500000003
North America,2033,0.5801142857142857,34.285714285714285,121.05365657142858,208.67208333333335,3.5307316500000003
global min,2006,1.512,100.0,108.59375,71.82126322751323,1.0859375
global min,2007,1.512,100.0,108.59375,71.82126322751323,1.0859375
global min,2008,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
global min,2009,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
global min,2010,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
global min,2011,1.7939999999999998,78.0,208.88333333333333,94.40422915771465,1.482576826591408
global min,2012,1.4375,75.0,136.8,94.40422915771465,1.482576826591408
global min,2013,1.4375,75.0,136.8,88.51653973444998,1.44425824782081
global min,2014,0.7076111111111111,26.11111111111111,113.33333333333333,96.02961660971859,1.681525632521558
global min,2015,1.1571565656565657,45.656565656565654,191.33333333333331,74.18636521739131,1.64066
global min,2016,3.7489066666666666,219.76666666666668,363.188,73.45394328922497,1.646488813559322
global min,2017,2.53,116.0,177.73136,70.24954940711463,1.5321668965517241
global min,2018,4.08,208.0,351.3217333333333,86.1082679738562,1.6890467948717949
global min,2019,7.003573232323232,346.4343434343434,1024.2462562666667,84.66945919550048,1.8199269553349875
global min,2020,5.540773232323232,266.9343434343434,840.3562562666666,102.17008992589754,2.192010897980501
global min,2021,5.371439898989898,256.2676767676768,812.7062562666666,100.35202767123245,2.1709615185694635
global min,2022,11.597895454545453,498.32323232323233,1544.461493314,107.24955337478214,2.2394318414412764
global min,2023,11.597895454545453,498.32323232323233,1868.2190637706667,82.01581284488626,1.7103012484931341
global min,2024,0.21333333333333335,10.666666666666666,31.416666666666668,90.57068053557896,1.9171496672097097
global min,2025,0.21333333333333335,10.666666666666666,31.416666666666668,96.11625601389889,2.054235890536077
global min,2026,0.21333333333333335,10.666666666666666,31.416666666666668,99.84579283881506,2.0631926547285464
global min,2027,1.1267809523809524,68.45238095238095,224.68365657142857,89.81858724373755,1.8256096413322631
global min,2028,0.621,27.0,44.32158,71.37130434782608,1.64154
global min,2029,4.375114285714286,199.28571428571428,1064.7636565714286,161.53278466468,2.9414986816364723
global min,2030,0.5801142857142857,34.285714285714285,121.05365657142858,161.53278466468,2.9414986816364723
global min,2031,0.5801142857142857,34.285714285714285,121.05365657142858,169.36261527387308,3.3094479830148624
global min,2032,0.5801142857142857,34.285714285714285,121.05365657142858,169.36261527387308,3.3094479830148624
global min,2033,0.5801142857142857,34.285714285714285,121.05365657142858,191.4191419141914,2.9000000000000004
global min,2034,1.6232142857142857,107.14285714285714,310.7142857142857,191.4191419141914,2.9000000000000004
global min,2035,1.6232142857142857,107.14285714285714,310.7142857142857,191.4191419141914,2.9000000000000004
