Country,City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
BE,Brussels,Line 3,Line 3,2020,2028,0,4.8,100,4.8,0,0,7,NaN,Plan,2600,EUR,2024,1.3,3380,704.1666667,0,1,3380,704.1666667,Plan,https://www.thebulletin.be/brussels-metro-line-3-project-could-be-delayed-or-suspended,NaN,NaN,NaN
DK,Copenhagen,City Circle Line,City Circle Line,2009,2019,0,15.5,100,15.5,0,0,17,NaN,Media,25300,DKK,2014,0.138,3491.4,225.2516129,0,1.287096175,4493.767584,289.9204893,Media,https://www.thelocal.dk/20190930/in-pictures-copenhagens-new-city-ring-metro-line,NaN,NaN,NaN
NO,Oslo,Løren Line,Løren Line,2013,2016,0,1.6,100,1.6,0,0,1,NaN,Trade,1330,NOK,2014,0.107,142.31,88.94375,0,1.287096175,183.1666566,114.4791604,Trade,https://www.railwaygazette.com/l%C3%B8renbanen-opens-in-oslo/42312.article,NaN,NaN,NaN
NO,Oslo,Fornebu Line,Fornebu Line,2020,2029,0,8.2,100,8.2,0,0,6,NaN,Plan,26400,NOK,2021,0.103,2719.2,331.6097561,0,1.124486105,3057.702618,372.8905632,Media,https://www.nrk.no/osloogviken/fornebubanen-er-vedtatt-i-oslo-bystyre-1.16010843,NaN,NaN,Length: See https://www.oslo.kommune.no/slik-bygger-vi-oslo/fornebubanen/ but note that the cost figure there is outdated.
AU,Sydney,Metro City & SW,Metro City & SW,2017,2024,0,30,51,15.3,0,0,7,NaN,Wiki,15500,AUD,2021,0.69,10695,356.5,1,1.124486105,12026.3789,400.8792966,Media,https://www.abc.net.au/news/2020-02-21/nsw-government-confirms-three-billion-metro-budget-blowout/11986968,NaN,NaN,NaN
AU,Sydney,Metro NW,Metro NW,2013,2019,0,36,42,15.1,0,0,13,NaN,Wiki,7800,AUD,2016,0.69,5382,149.5,1,1.269554638,6832.743062,189.7984184,Plan,https://www.transport.nsw.gov.au/news-and-events/media-releases/sydney-metro-northwest-under-budget,NaN,NaN,NaN
AU,Melbourne,Metro Tunnel,Metro Tunnel,2018,2025,0,9,100,9,0,0,5,NaN,Plan,12584.4,AUD,2021,0.69,8683.236,964.804,1,1.124486105,9764.178233,1084.908693,Plan,https://www.audit.vic.gov.au/report/melbourne-metro-tunnel-project-phase-2-main-works?section=,NaN,NaN,NaN
SG,Singapore,Downtown MRT Line,Downtown MRT Line,2008,2017,0,41.9,100,41.9,0,0,34,NaN,Wiki,21000,SGD,2012,1.18,24780,591.4081146,1,1.327133984,32886.38013,784.8778074,Plan,https://www.todayonline.com/singapore/comparing-singapores-newest-and-oldest-mrt-lines,NaN,NaN,NaN
SG,Singapore,Thomson MRT Line,Thomson MRT Line,2014,2024,0,43,100,43,0,0,32,NaN,Media,25000,SGD,2019,1.13,28250,656.9767442,1,1.191839066,33669.4536,783.0105489,Media,https://www.straitstimes.com/singapore/transport/thomson-east-coast-line-6-more-stations-from-springleaf-to-caldecott-opening,NaN,NaN,NaN
CA,Toronto,Eglinton Crosstown,Eglinton Crosstown,2011,2022,0,19,53,10,0.62,8.31,25,NaN,Plan,5300,CAD,2016,0.83,4399,231.5263158,1,1.269554638,5584.770853,293.935308,Trade,https://www.railwayage.com/news/eglinton-crosstown-behind-schedule/,NaN,NaN,Cost: This does not include a $330 million overrun per https://www.thestar.com/news/gta/2019/12/30/eglinton-crosstown-lrt-could-be-330-million-over-budget-and-open-seven-months-late-internal-documents-warn.html
IN,Mumbai,Monorail,Monorail,2009,2019,0,20.2,0,0,0,0,17,NaN,Plan,30000,INR,2014,0.054,1620,80.1980198,0,1.287096175,2085.095803,103.2225645,Media,https://indianexpress.com/article/cities/mumbai/indias-first-monorail-rolls-out-in-city/,NaN,NaN,"Length: Wikipedia says 19.5 km., Cost: This source says 24,600: https://mmrda.maharashtra.gov.in/mumbai-monorail-project#"
IN,Mumbai,Line 3,Line 3,2016,2022,0,33.5,100,33.5,0,0,27,NaN,Media,320000,INR,2019,0.047,15040,448.9552239,0,1.191839066,17925.25955,535.0823745,Trade,https://housing.com/news/mumbai-metro-line-3-everything-you-need-to-know/,NaN,NaN,Cost: See https://www.metrorailnews.in/tunneling-work-on-mumbai-metro-line-3-likely-to-complete-by-2021/
IN,Mumbai,Line 2,Line 2A,2016,2021,0,18.6,0,0,17.48,1.12,17,NaN,Media,64100,INR,2018,0.048,3076.8,165.4193548,0,1.21343491,3733.496532,200.72562,Media,https://www.freepressjournal.in/mumbai/metro-line-2a-revised-deadline-is-may-2021,NaN,NaN,Length: https://www.makaan.com/iq/news-views/mumbai-metro-line-2a-to-get-operational-by-2020 says 18 km.
IN,Mumbai,Line 2,Line 2B,2018,2023,0,23.5,0,0,23.5,0,22,NaN,Plan,109860,INR,2020,0.047,5163.42,219.72,0,1.17731472,6078.970372,258.6795903,Plan,https://mmrda.maharashtra.gov.in/metro-line-2b,NaN,NaN,Cost: Including state taxes.
IN,Mumbai,Line 4,Line 4,2018,2022,0,32.3,0,0,31.71,0.59,32,NaN,Plan,145490,INR,2020,0.047,6838.03,211.7037152,0,1.17731472,8050.513375,249.2419002,Plan,https://mmrda.maharashtra.gov.in/metro-line-4#,NaN,NaN,NaN
IN,Mumbai,Line 4,Line 4A,2019,2022,0,2.7,0,0,0,0,2,NaN,Plan,7860,INR,2017,0.048,377.28,139.7333333,0,1.243072781,468.9864987,173.6987032,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+4A/da25997a-6844-4c74-b4bd-9538285c9471,NaN,NaN,NaN
