Country,City,Trainset,Trains,Cars,Train length,Length,Decks,Seats,Top speed,Voltage,Power source,Contract year,Start year,End year,Maintenance,Manufacturer,Currency,Cost,PPP rate,Inflation index,Real cost,Cost/car,Cost/meter,Reference,Metro,,,
CN,Hangzhou,Line 10,21,84,91.2,1915.2,1,,120,DC 1500V,Catenary,2024,2025,2026,/,CRRC Puzhen,CNY,"784,000,000",0.251,1,196784000,2342666.667,102748.538,"http://www.deqing.gov.cn/hzgov/front/s652/jyxx/gcjs/xmlx/sz/zbxmjh/20240614/i3780582.html
https://mp.weixin.qq.com/s/bxc8Y1FkXLuXP8pTcjsbaA",Metro,,,
CN,Wenzhou,Line S3,11,44,80.1,881.1,1,,120,DC 1500V,Catenary,2023,2026,2027,/,CRRC Puzhen,CNY,"378,000,000",0.251,1,94878000,2156318.182,107681.3075,https://mp.weixin.qq.com/s/k0aY-4cKOFgN4A43hK1S_Q,Metro,Chat GPT,,
CN,Hefei,Line 6/7/8,80,480,115,9200,1,,100,DC 1500V,Catenary,2023,2026,2027,/,CRRC Puzhen,CNY,"4,042,839,300",0.251,1,1014752664,2114068.051,110299.2026,https://mp.weixin.qq.com/s/iS_ON3m9CMrP_lWHOepoqA,Metro,Chat GPT,,
CN,Wuhan ,Line 3,19,114,115,2185,1,,80,DC 750V,Third rail,2019,2020,2022,/,CRRC Changchun,CNY,"540,360,000",0.237,1.16,148555771.2,1303120.8,67988.9113,https://ggzyfw.wuhan.gov.cn/whggzy/jygkjt/748665.jhtml,Metro,Chat GPT,,
CN,Wuhan ,Line 5,35,210,138,4830,1,,80,DC 1500V,Third rail,2019,2019,2020,/,CRRC Changchun,CNY,"1,405,530,000",0.237,1.21,403063838.1,1919351.61,83450.07,https://ggzyfw.wuhan.gov.cn/whggzy/jygkjt/867984.jhtml,Metro,Chat GPT,,
CN,Wuhan ,Line 6 ,40,240,138,5520,1,,80,DC 1500V,Catenary,2015,2015,2016,/,CRRC Zhuzhou,CNY,"1,680,000,000",0.251,1.31,552400800,2301670,100072.6087,https://web.archive.org/web/20170114183317/http://www.hb.xinhuanet.com/2016-03/30/c_1118490535.htm,Metro,Chat GPT,,
CN,Wuhan ,Line 6 ,11,66,138,1518,1,,80,DC 1500V,Catenary,2019,2020,2021,/,CRRC Zhuzhou,CNY,"398,640,000",0.237,1.16,109594108.8,1660516.8,72196.38261,"https://web.archive.org/web/20190813001417/http://www.chinabidding.com/bidDetail/238616087.html
https://ggzyfw.wuhan.gov.cn/whggzy/jygkjt/863948.jhtml",Metro,Chat GPT,,
CN,Wuhan ,Line 7,40,240,138,5520,1,,100,DC 1500V,Third rail,2015,2016,2018,/,CRRC Changchun,CNY,"1,585,200,000",0.251,1.28,509293056,2122054.4,92263.23478,http://www.hbzbw.com/news1/2015-11-20/483070.html,Metro,Chat GPT,,
CN,Wuhan ,Line 7,30,180,138,4140,1,,100,DC 1500V,Third rail,2021,2022,2024,/,CRRC Changchun,CNY,"1,136,160,000",0.239,1.03,279688507.2,1553825.04,67557.61043,"https://mp.weixin.qq.com/s/iEpFd-aCWErKECsEXs2h9g
https://mp.weixin.qq.com/s/exVKSeQCOWRXrxZbaA6j9Q",Metro,Chat GPT,,
CN,Wuhan ,Line 11,22,132,138,3036,1,,100,DC 1500V,Third rail,2019,2021,2023,/,CRRC Changchun,CNY,"817,212,000",0.237,1.07,207236791.1,1569975.69,68259.81261,https://mp.weixin.qq.com/s/GM6Kml1PW6PjBssz94tEMw,Metro,Chat GPT,,
CN,Wuhan,Line 12,79,474,138,10902,1,,80,DC 1500V,Third rail,2023,2025,2027,/,CRRC Changchun,CNY,"3,051,138,000",0.251,1,765835638,1615687,70247.26087,https://ggzyfw.wuhan.gov.cn/whggzy/jygkjt/965284.jhtml,Metro,,,
CN,Wuhan ,Line 19,15,90,138,2070,1,,120,DC 1500V,Catenary,2021,2022,2023,/,CRRC Zhuzhou,CNY,"609,381,000",0.239,1.07,155837003.1,1731522.257,75283.57639,https://ggzyfw.wuhan.gov.cn/whggzy/jygkjt/919759.jhtml,Metro,Chat GPT,,
CN,Wuhan ,Line 34,18,108,138,2484,1,,120,DC 1500V,Catenary,2024,2025,2028,/,CRRC Changchun,CNY,"706,320,000",0.251,1,177286320,1641540,71371.30435,"https://mp.weixin.qq.com/s/ttc3hxmg5dkHyYcZBb1Qdg
https://mp.weixin.qq.com/s/zxGa5P8yU2_0TDlrHn-_BA ",Metro,Chat GPT,,
CN,Zhengzhou,Line 1,25,150,115,2875,1,,80,DC 1500V,Catenary,2010,2012,2013,/,CRRC Zhuzhou,CNY,"912,000,000",0.3,1.35,369360000,2462400,128473.0435,"https://www.zzmetro.cn/portal/info/index/id/924.html
https://www.zzmetro.cn/portal/info/index/id/2046.html",Metro,,,
CN,Zhengzhou,Line 2,18,108,115,2070,1,,80,DC 1500V,Catenary,2014,2015,2017,/,CRRC Zhuzhou,CNY,"508,680,000",0.266,1.31,177254632.8,1641246.6,85630.25739,https://www.zzmetro.cn/portal/info/index/id/2177.html,Metro,,,
CN,Zhengzhou,Line 7 ,30,180,138,4140,1,,100,DC 1500V,Catenary,2021,2023,2024,/,CRRC Sifang,CNY,"1,214,100,000",0.239,1,290169900,1612055,70089.34783,"https://mp.weixin.qq.com/s/eh2Yl1uXE64xWw5rG5i20g
https://mp.weixin.qq.com/s/xPLS-KammxPELNkcEsCJow",Metro,Chat GPT,,
CN,Zhengzhou,Line 12,15,90,115,1725,1,,100,DC 1500V,Catenary,2021,2023,2024,/,CRRC Sifang,CNY,"597,150,000",0.239,1,142718850,1585765,82735.56522,"https://mp.weixin.qq.com/s/W1ZpQuQVfKEnbxuXCUaP4Q
https://mp.weixin.qq.com/s/eh2Yl1uXE64xWw5rG5i20g",Metro,,,
